📺央视频道,#genre#

📡卫视频道,#genre#

☘️山西电信央视,#genre#
CCTV1高清,http://123.174.106.183:8888/udp/239.1.1.7:8007
CCTV2高清,http://123.174.106.183:8888/udp/239.1.1.8:8008
CCTV3高清,http://123.174.106.183:8888/udp/239.1.1.9:8009
CCTV4高清,http://123.174.106.183:8888/udp/239.1.1.10:8010
CCTV5高清,http://123.174.106.183:8888/udp/239.1.1.11:8011
CCTV5+高清,http://123.174.106.183:8888/udp/239.1.1.12:8012
CCTV6高清,http://123.174.106.183:8888/udp/239.1.1.13:8013
CCTV7,http://123.174.106.183:8888/udp/239.1.1.14:8014
CCTV8高清,http://123.174.106.183:8888/udp/239.1.1.15:8015
CCTV9高清,http://123.174.106.183:8888/udp/239.1.1.16:8016
CCTV10高清,http://123.174.106.183:8888/udp/239.1.1.17:8017
CCTV11,http://123.174.106.183:8888/udp/239.1.1.18:8018
CCTV12高清,http://123.174.106.183:8888/udp/239.1.1.19:8019
CCTV13高清,http://123.174.106.183:8888/udp/239.1.1.20:8020
CCTV14高清,http://123.174.106.183:8888/udp/239.1.1.21:8021
CCTV15,http://123.174.106.183:8888/udp/239.1.1.22:8022
CCTV16高清,http://123.174.106.183:8888/udp/239.1.1.122:8122
CCTV17高清,http://123.174.106.183:8888/udp/239.1.1.23:8023
CCTV女性时尚高清,http://123.174.106.183:8888/udp/239.1.1.89:8089
CCTV电视指南高清,http://123.174.106.183:8888/udp/239.1.1.90:8090
CCTV央视文化精品高清,http://123.174.106.183:8888/udp/239.1.1.91:8091
CCTV风云剧场高清,http://123.174.106.183:8888/udp/239.1.1.93:8093
CCTV第一剧场高清,http://123.174.106.183:8888/udp/239.1.1.94:8094
CCTV怀旧剧场高请,http://123.174.106.183:8888/udp/239.1.1.95:8095
CCTV风云音乐高请,http://123.174.106.183:8888/udp/239.1.1.96:8096
CCTV兵器科技高清,http://123.174.106.183:8888/udp/239.1.1.97:8097
CCTV世界地理高清,http://123.174.106.183:8888/udp/239.1.1.99:8099
CCTV央视台球高清,http://123.174.106.183:8888/udp/239.1.1.100:8100
CCTV风云足球高清,http://123.174.106.183:8888/udp/239.1.1.101:8101
CCTV高尔夫网球高清,http://123.174.106.183:8888/udp/239.1.1.102:8102
中学生,http://123.174.106.183:8888/udp/239.1.1.104:8104
老故事,http://123.174.106.183:8888/udp/239.1.1.87:8087
CCTV1高清,http://1.70.35.250:4022/udp/239.1.1.7:8007
CCTV2高清,http://1.70.35.250:4022/udp/239.1.1.8:8008
CCTV3高清,http://1.70.35.250:4022/udp/239.1.1.9:8009
CCTV4高清,http://1.70.35.250:4022/udp/239.1.1.10:8010
CCTV5高清,http://1.70.35.250:4022/udp/239.1.1.11:8011
CCTV5+高清,http://1.70.35.250:4022/udp/239.1.1.12:8012
CCTV6高清,http://1.70.35.250:4022/udp/239.1.1.13:8013
CCTV7,http://1.70.35.250:4022/udp/239.1.1.14:8014
CCTV8高清,http://1.70.35.250:4022/udp/239.1.1.15:8015
CCTV9高清,http://1.70.35.250:4022/udp/239.1.1.16:8016
CCTV10高清,http://1.70.35.250:4022/udp/239.1.1.17:8017
CCTV11,http://1.70.35.250:4022/udp/239.1.1.18:8018
CCTV12高清,http://1.70.35.250:4022/udp/239.1.1.19:8019
CCTV13高清,http://1.70.35.250:4022/udp/239.1.1.20:8020
CCTV14高清,http://1.70.35.250:4022/udp/239.1.1.21:8021
CCTV15,http://1.70.35.250:4022/udp/239.1.1.22:8022
CCTV16高清,http://1.70.35.250:4022/udp/239.1.1.122:8122
CCTV17高清,http://1.70.35.250:4022/udp/239.1.1.23:8023
CCTV女性时尚高清,http://1.70.35.250:4022/udp/239.1.1.89:8089
CCTV电视指南高清,http://1.70.35.250:4022/udp/239.1.1.90:8090
CCTV央视文化精品高清,http://1.70.35.250:4022/udp/239.1.1.91:8091
CCTV风云剧场高清,http://1.70.35.250:4022/udp/239.1.1.93:8093
CCTV第一剧场高清,http://1.70.35.250:4022/udp/239.1.1.94:8094
CCTV怀旧剧场高请,http://1.70.35.250:4022/udp/239.1.1.95:8095
CCTV风云音乐高请,http://1.70.35.250:4022/udp/239.1.1.96:8096
CCTV兵器科技高清,http://1.70.35.250:4022/udp/239.1.1.97:8097
CCTV世界地理高清,http://1.70.35.250:4022/udp/239.1.1.99:8099
CCTV央视台球高清,http://1.70.35.250:4022/udp/239.1.1.100:8100
CCTV风云足球高清,http://1.70.35.250:4022/udp/239.1.1.101:8101
CCTV高尔夫网球高清,http://1.70.35.250:4022/udp/239.1.1.102:8102
中学生,http://1.70.35.250:4022/udp/239.1.1.104:8104
老故事,http://1.70.35.250:4022/udp/239.1.1.87:8087
☘️山西电信卫视,#genre#
湖南卫视高清,http://123.174.106.183:8888/udp/239.1.1.28:8028
四川卫视高清,http://123.174.106.183:8888/udp/239.1.1.29:8029
吉林卫视高清,http://123.174.106.183:8888/udp/239.1.1.30:8030
上海卫视高清,http://123.174.106.183:8888/udp/239.1.1.31:8031
湖北卫视高清,http://123.174.106.183:8888/udp/239.1.1.32:8032
东南卫视高清,http://123.174.106.183:8888/udp/239.1.1.33:8033
河南卫视高清,http://123.174.106.183:8888/udp/239.1.1.34:8034
江苏卫视高清,http://123.174.106.183:8888/udp/239.1.1.35:8035
重庆卫视高清,http://123.174.106.183:8888/udp/239.1.1.36:8036
黑龙江卫视高清,http://123.174.106.183:8888/udp/239.1.1.37:8037
浙江卫视高清,http://123.174.106.183:8888/udp/239.1.1.38:8038
深圳卫视高清,http://123.174.106.183:8888/udp/239.1.1.39:8039
广西卫视,http://123.174.106.183:8888/udp/239.1.1.40:8040
北京卫视高清,http://123.174.106.183:8888/udp/239.1.1.41:8041
辽宁卫视高清,http://123.174.106.183:8888/udp/239.1.1.42:8042
贵州卫视高清,http://123.174.106.183:8888/udp/239.1.1.43:8043
安徽卫视高清,http://123.174.106.183:8888/udp/239.1.1.44:8044
天津卫视高清,http://123.174.106.183:8888/udp/239.1.1.46:8046
山东卫视高清,http://123.174.106.183:8888/udp/239.1.1.47:8047
河北卫视高清,http://123.174.106.183:8888/udp/239.1.1.48:8048
广东卫视高清,http://123.174.106.183:8888/udp/239.1.1.49:8049
江西卫视高清,http://123.174.106.183:8888/udp/239.1.1.52:8052
陕西卫视,http://123.174.106.183:8888/udp/239.1.1.50:8050
甘肃卫视,http://123.174.106.183:8888/udp/239.1.1.51:8051
青海卫视,http://123.174.106.183:8888/udp/239.1.1.53:8053
云南卫视,http://123.174.106.183:8888/udp/239.1.1.54:8054
海南卫视,http://123.174.106.183:8888/udp/239.1.1.55:8055
宁夏卫视,http://123.174.106.183:8888/udp/239.1.1.56:8056
西藏卫视,http://123.174.106.183:8888/udp/239.1.1.57:8057
兵团卫视,http://123.174.106.183:8888/udp/239.1.1.58:8058
新疆卫视,http://123.174.106.183:8888/udp/239.1.1.59:8059
内蒙古卫视,http://123.174.106.183:8888/udp/239.1.1.60:8060
大湾区卫视,http://123.174.106.183:8888/udp/239.1.1.69:8069
三沙卫视,http://123.174.106.183:8888/udp/239.1.1.70:8070
厦门卫视,http://123.174.106.183:8888/udp/239.1.1.71:8071
农林卫视,http://123.174.106.183:8888/udp/239.1.1.73:8073
山东教育卫视,http://123.174.106.183:8888/udp/239.1.1.74:8074
山西卫视高清,http://123.174.106.183:8888/udp/239.1.1.1:8001
湖南卫视高清,http://1.70.35.250:4022/udp/239.1.1.28:8028
四川卫视高清,http://1.70.35.250:4022/udp/239.1.1.29:8029
吉林卫视高清,http://1.70.35.250:4022/udp/239.1.1.30:8030
上海卫视高清,http://1.70.35.250:4022/udp/239.1.1.31:8031
湖北卫视高清,http://1.70.35.250:4022/udp/239.1.1.32:8032
东南卫视高清,http://1.70.35.250:4022/udp/239.1.1.33:8033
河南卫视高清,http://1.70.35.250:4022/udp/239.1.1.34:8034
江苏卫视高清,http://1.70.35.250:4022/udp/239.1.1.35:8035
重庆卫视高清,http://1.70.35.250:4022/udp/239.1.1.36:8036
黑龙江卫视高清,http://1.70.35.250:4022/udp/239.1.1.37:8037
浙江卫视高清,http://1.70.35.250:4022/udp/239.1.1.38:8038
深圳卫视高清,http://1.70.35.250:4022/udp/239.1.1.39:8039
广西卫视,http://1.70.35.250:4022/udp/239.1.1.40:8040
北京卫视高清,http://1.70.35.250:4022/udp/239.1.1.41:8041
辽宁卫视高清,http://1.70.35.250:4022/udp/239.1.1.42:8042
贵州卫视高清,http://1.70.35.250:4022/udp/239.1.1.43:8043
安徽卫视高清,http://1.70.35.250:4022/udp/239.1.1.44:8044
天津卫视高清,http://1.70.35.250:4022/udp/239.1.1.46:8046
山东卫视高清,http://1.70.35.250:4022/udp/239.1.1.47:8047
河北卫视高清,http://1.70.35.250:4022/udp/239.1.1.48:8048
广东卫视高清,http://1.70.35.250:4022/udp/239.1.1.49:8049
江西卫视高清,http://1.70.35.250:4022/udp/239.1.1.52:8052
陕西卫视,http://1.70.35.250:4022/udp/239.1.1.50:8050
甘肃卫视,http://1.70.35.250:4022/udp/239.1.1.51:8051
青海卫视,http://1.70.35.250:4022/udp/239.1.1.53:8053
